je	I
le petit-fils	grandson
la petite-fille	granddaughter
l'arrière-petite-fille (f)	great-grand-daughter
le beau-père	father-in-law, stepfather
la belle-mère	mother-in-law, stepmother
la belle-fille	daughter-in-law, stepdaughter
le beau-fils	stepson
le gendre	son-in-law
le beau-frère	brother-in-law, stepbrother
la belle-sœur	sister-in-law, stepsister
le demi-frère	half-brother
la demi-sœur	half-sister
les Amis (m)	Friends
l'ami(e)	friend
le/la meilleur(e) ami(e)	best friend
le copain (la copine)	friend (pal)
le petit ami (la petite amie)	boy/girlfriend
possessive + copain/copine	boy/girlfriend (for adult)
mon copain	my boyfriend
ma copine	my girlfriend
un copain à moi, un de mes copains	my (male) friend
l'amant (m)	lover
hétéro-/ homosexuel (-elle)	hetero-/homosexual
le parrain	godfather
la marraine	godmother
le filleul	godson
la filleule	goddaughter
le Cycle de la Vie	Cycle of Life
la naissance	birth
être né(e)	to be born
le bébé	baby
le garçon	boy
l'enfant (m, f)	child
grandir	to grow up
les jeunes	young people
l'homme (m)	man
célibataire	single
sortir ensemble	to be dating
coucher ensemble	to sleep together
se fiancer	to get engaged
les fiançailles (f)	engagement
se marier	to get married
le mariage	wedding
les noces (f)	reception
nom de jeune fille	maiden name
la lune de miel	honeymoon
enceinte	pregnant
le divorce	divorce
la mort	death
mourir	to die
le veuf	widow
la veuve	widower
le deuil	mourning
l'orphelin(e)	orphan
les ?motions (f)	Emotions
l'amour (m)	love
la haïne	hate
l'amitié (m)	friendship
le respect	respect
les Adjectifs (m)	Adjectives
énervant(e)	annoying
sportif (sportive)	athletic
mauvais(e)+	bad
beaux (bel, belle)+	beautiful, handsome
grand(e)+	big, tall
blond(e)	blond, fair-haired
ennuyeux (ennuyeuse)	boring
occupé(e)	busy
bavard(e)	chatty, talkative
bon marché	cheap
propre	clean
fermé(e)	closed
frais (fraîche)	cool (not warm)
mignon(ne)	cute
cher (chère)+	dear
différent(e)	different
sale	dirty
sec (sèche)	dry
facile	easy
vide	empty
vite	fast
gros (grosse)+	fat
gratuit(e)	free (no charge)
libre	free (unconstrained)
libre, disponible	free (available)
plein(e)	full
drôle, amusant(e)	funny
doux (douce)	gentle
bon (bonne)+	good
heureux (heureuse)	happy
difficile, dur(e)	hard, difficult
lourd(e)	heavy
haut	high
chaud(e)	hot
intelligent(e)	intelligent
intéressant(e)	interesting
gentil(le)	kind, nice
dernier (-ière)+	last
paresseux (paresseuse)	lazy
gauche	left (not right), clumsy
léger (légère)	light (not heavy)
clair(e)	light (not dark)
long (longue)	long
méchant(e)	mean
nouveau (nouvelle)+	new (to the speaker)
neuf (neuve)	new (brand-new)
vieux (vieille)+	old
ouvert(e)	open
sympathique	pleasant, agreeable
joli(e)+	pretty
tranquille	quiet, peaceful
roux (rousse)	red-haired
droit(e)	right (not left)
juste, bon(ne)	right (not wrong)
triste	sad
court(e)	short (not long)
petit(e)+	short (not tall)
timide	shy
pareil(le)	similar
silencieux (silencieuse)	silent
maigre	skinny
lent(e)	slow
fort(e)	strong, plump
bête	stupid
mince	thin
vrai(e)	TRUE
laid(e)	ugly
faible	weak
mouillé(e)	wet
large	wide, broad
faux (fausse)	wrong, false
jeune+	young
les Verbes (m)	Verbs
permettre+ [à qqn] [de faire qqch]	to allow [someone] [to do something]
répondre	to answer
arrivere	to arrive
demander [qqch] [à qqn]	to ask [smth] [smbdy]
être+	to be
pouvoir+	to be able to
devenir+	to become
commencer, se mettre+ à	to begin
croire+	to believe
emprunter	to borrow
naître+e	to be born
amener	to bring [smbdy]
apporter	to bring [smth]
choisir	to choose
montere	to climb, go up
venir+	to come
revenir+	to come back
pleurer	to cry
descendree	to descend, go down
entrere	to enter
tombere	to fall
craindre+	to fear
sentir+	to feel
finir	to finish
oublier	to forget
se lever	to get up
donner	to give
allere	to go
se coucher	to go to bed
détester	to hate
s'amuser	to have fun
devoir+	to have to, owe
entendre	to hear
aider	to help
éspérer	to hope
savoir+	to know (fact, skill)
connaître+	to know (person, place)
rire+	to laugh
partir+e	to leave
prêter	to lend
mentir+	to lie
aimer bien	to like
écouter	to listen to
vivre	to live (exist)
habiter	to live (dwell in)
regarder	to look at
chercher	to look for
perdre+	to lose
aimer	to love
rater	to miss (train)
obéir [à qqn]	to obey [smbdy]
ouvrir+	to open
passere [par qqch]	to pass [by something]
préférer	to prefer
promettre+ [qqch à qqn]	to promise [something to somebody]
mettre+	to put
lire+	to read
s'apercevoir+ [de qqch]	to realize [something]
recevoir+	to receive
se souvenir+ [de qqch]	to remember [something]
rappeller [qqch à qqn]	to remind [somebody of something]
rentrere, retournere	to return
courir+	to run
dire+	to say
voir+	to see
paraître+	to seem, appear
montrer	to show
se taire+	to shut up, be quiet
chanter	to sing
s'asseoir+	to sit down
dormir+	to sleep
s'endormir	to fall asleep
sourire+	to smile
parler	to speak
restere	to stay, remain
prendre+	to take
emmener	to take [smbdy] along
emporter	to take [smth] away
raconter [une histoire]	to tell [a story]
penser [à qqch]	to think [about smth]
jeter	to throw (away)
comprendre+	to understand
se réveiller	to wake up
marcher	to walk
vouloir+	to wish, want
s'inquiéter [de qqch]	to worry [about something]
écrire+	to write
le Travail	Work
travailler	to work
le métier	job (trade)
le travail, l'emploi (m)	job (employment)
le boulot (slang)	job (task)
faire une demande [d'emploi]	to apply for [a job]
l'entretien (m)	job interview
le formulaire, le dossier	application (form)
au chômage	unemployed
en retraite	retired
le syndicat	(trade) union
la grève	strike
faire la grève	to strike
gagner	to earn
le salaire	wages, salary
les impôts (m)	taxes
le patron (la patronne)	boss
l'entreprise (f), la firme	company
le bureau	office
la réunion	meeting
le/la stagiaire	intern
l'usine (f)	factory
les Professions (f)	Occupations
Elle est avocate.	She is a lawyer.
Elle est (femme) ingénieur.	She is an engineer.
comptable (m, f)	accountant
acteur (actrice)	actor
artiste (m, f)	artist
boulanger (-ère)	baker
homme/femme d'affaires	businessman/woman
fonctionnaire (m, f)	civil servant
informaticien(ne)	computer specialist
cuisinier (-ière)	cook
danseur (-euse)	dancer
dentiste (m, f)	dentist
médecin (m), docteur (m)	doctor
chauffeur (m)	driver
chauffeur routier	truck driver
éditeur (-trice), rédacteur (-trice)	editor
ingénieur (m)	engineer
fermier (-ière)	farmer
pompier (m)	fireman
coiffeur (-euse)	hairdresser
journaliste (m, f)	journalist
avocat(e)	lawyer
bibilothécaire (m, f)	librarian
facteur (-trice)	mailman
musicien(ne)	musician
