je	I
l'Inde (f)	India
l'Irlande (f)	Ireland
l'Israël (m)	Israel
l'Italie (f)	Italy
le Japon	Japan
la Corée	Korea
le Mexique	Mexico
le Maroc	Morocco
les Hollandes (f)	Netherlands
la Russie	Russia
l'Espagne (f)	Spain
la Suisse	Switzerland
la Thaïlande	Thailand
la Tunisie	Tunisia
les ?tats-Unis (m)	United States
les Animaux (m)	Animals
la ferme	farm
le zoo	zoo
la bête	beast
la corne	horn
la patte	paw
la queue	tail
chasser	to hunt
les Animaux Domestiques	Domestic Animals
le chat (la chatte)	cat
le chien (la chienne)	dog
la poule	hen
le coq	rooster
la vache	cow
le taureau	bull
le cheval	horse
l'âne (m)	donkey
le mouton	sheep
le bélier	ram
la chèvre	goat
le cochon	pig
le porcelet	piglet
les Animaux Sauvages	Wild Animals
le renard	fox
le loup	wolf
le cerf	deer
le lion	lion
le tigre	tiger
l'ours (m)	bear
le sanglier	wild boar
l'éléphant (m)	elephant
le chameau	camel
la girafe	giraffe
le zèbre	zebra
le singe	monkey
la souris	mouse
le rat	rat
le lapin	rabbit
l'écureuil (m)	squirrel
la grenouille	frog
la tortue	turtle
le lézard	lizard
le serpent	snake
le ver (de terre)	worm
la Vie Aquatique	Marine Life
le requin	shark
la baleine	whale
le dauphin	dolphin
la méduse	jellyfish
la pieuvre	octopus
le calmar	squid
les Oiseaux (m)	Birds
le nid	nest
l'aile (f)	wing
l'aigle (m)	eagle
le faucon	hawk
la colombe	dove
le pigeon	pigeon
le moineau	sparrow
le corbeau	crow
le perroquet	parrot
la cigogne	stork
le *hibou	owl
le rossignol	nightingale
le paon	peacock
le cygne	swan
les Insectes (m)	Insects
la fourmi	ant
l'abeille (f)	bee
le papillon	butterfly
le cafard	cockroach
la mouche	fly
le moustique	mosquito
l'araignée (f)	spider
les Adverbes et les Prépositions (f)	Adverbs and Prepositions
presque	almost
peut-être	maybe
seulement	only
très	very
loin	far
près	near, close
à côté de	next to
en face de	across from
derrière	behind
devant	in front of
entre	between
au-dessus de	above
au-dessous de	below
dedans	inside
à l'intérieur de	...of
dehors	outside
à l'extérieur de	...of
ici	here
là	there
là-bas	over there
après	after
avant	before
encore	again
pas encore	not yet
tôt	early
tard	late
à l'heure	on time
maintenant	now
déjà	already
jamais	never
une fois	once
de temps en temps	from time to time
quelquefois	sometimes
souvent	often
toujours	always
bien	well
mal	badly
mieux	better
pire	worse
assez	enough
pas assez	not enough
plus, davantage	more
moins	less
beaucoup	much
peu	little
aussi... [que]	as... [as]
دانلود کتاب ها و نرم افزارها? فرانسه	www.Francais.persianblog.ir
